engine_id,cylinders,engine_size,fuel_type,fuel_consumption,transmission_type
V8452Z7406P,4 cyl,"4 cyl, 2.2 L",Diesel,8.7 L / 100 km,Automatic
T6729Z3943D,4 cyl,"4 cyl, 1.5 L",Premium,6.7 L / 100 km,Automatic
A8785L2129R,4 cyl,"4 cyl, 2 L",Premium,6.6 L / 100 km,Automatic
M1140B1516N,8 cyl,"8 cyl, 5.5 L",Premium,11 L / 100 km,Automatic
W3533M3418G,4 cyl,"4 cyl, 1.3 L",Unleaded,6 L / 100 km,Automatic
M3349V9564V,-,-,Unleaded,-,Automatic
V3582Z8233E,4 cyl,"4 cyl, 2 L",Diesel,5.1 L / 100 km,Automatic
T2660S9100L,4 cyl,"4 cyl, 1.6 L",Unleaded,8 L / 100 km,Automatic
E2159A6099O,4 cyl,"4 cyl, 2 L",Premium,7.1 L / 100 km,Automatic
A2203B8293A,4 cyl,"4 cyl, 1.3 L",Hybrid,4.5 L / 100 km,Automatic
W4631G1135F,-,-,Unleaded,-,Automatic
C9740E2102K,4 cyl,"4 cyl, 2.7 L",Unleaded,9.8 L / 100 km,Automatic
W3850J4136Z,-,-,Unleaded,-,Automatic
E7440W9391I,-,-,-,-,Automatic
S7716N5035G,4 cyl,"4 cyl, 3 L",Diesel,8 L / 100 km,Automatic
W5893F6066L,4 cyl,"4 cyl, 1.4 L",Premium,6.2 L / 100 km,Automatic
V7688S7305F,4 cyl,"4 cyl, 2 L",Diesel,5.6 L / 100 km,Automatic
A9121U2391U,-,-,-,-,Manual
E7427O3753B,4 cyl,"4 cyl, 2 L",Diesel,5.4 L / 100 km,Automatic
D3828I3062T,3 cyl,"3 cyl, 1 L",Unleaded,5.4 L / 100 km,Automatic
T7977X5643D,4 cyl,"4 cyl, 2.4 L",Unleaded,7.5 L / 100 km,Automatic
U8150U1371C,4 cyl,"4 cyl, 1.6 L",Unleaded,6.1 L / 100 km,Automatic
X9958Z4410A,6 cyl,"6 cyl, 3 L",Diesel,8.4 L / 100 km,Automatic
G1671R3840X,4 cyl,"4 cyl, 1.5 L",Unleaded,5.8 L / 100 km,Automatic
D9297F4230D,4 cyl,"4 cyl, 2.5 L",Premium,8.4 L / 100 km,Automatic
K6649Q9812O,3 cyl,"3 cyl, 1.2 L",Unleaded,4.7 L / 100 km,Automatic
Q2108I1643B,4 cyl,"4 cyl, 2.4 L",Unleaded,9.8 L / 100 km,Automatic
S9701H6273T,-,-,Unleaded,-,Automatic
A5055L8990Y,4 cyl,"4 cyl, 2.4 L",Unleaded,7.9 L / 100 km,Automatic
Y9644F3871R,6 cyl,"6 cyl, 2.7 L",Diesel,8.2 L / 100 km,Automatic
P7002C2697O,4 cyl,"4 cyl, 2 L",Unleaded,6.9 L / 100 km,Automatic
Z1401X9718U,4 cyl,"4 cyl, 2 L",Premium,6.6 L / 100 km,Manual
E4752A8231W,-,-,Premium,-,Automatic
F9667D6565Z,4 cyl,"4 cyl, 2 L",Unleaded,7.9 L / 100 km,Automatic
R2249R7158J,4 cyl,"4 cyl, 1.5 L",Unleaded,6.2 L / 100 km,Automatic
T4787X7775T,4 cyl,"4 cyl, 2.5 L",Unleaded,8.1 L / 100 km,Automatic
