location_id,location_name
V6316S5433R,"Caringbah, NSW"
C1528G3911M,"Brookvale, NSW"
E5321E1984X,"Sylvania, NSW"
Y6797A3458J,"Mount Druitt, NSW"
H2239B4012L,"Castle Hill, NSW"
Z9181H9788F,"Saint Marys, NSW"
L1944O3443W,"Blacktown, NSW"
A7114G8339P,"Wentworthville, NSW"
C2327G7572I,"Mcgraths Hill, NSW"
P2041H2470O,"Lidcombe, NSW"
J9122P3197N,"Lidcombe, NSW"
T6633E1886H,"Lidcombe, NSW"
Z1178U3243H,"Rouse Hill, NSW"
J4672N3778L,"Lidcombe, NSW"
B9581X3748R,"Lidcombe, NSW"
X5565G1694P,"Five Dock, NSW"
N3960W7006U,"Haberfield, NSW"
V2870F1694H,"Blacktown, NSW"
J9789W3943I,"Five Dock, NSW"
Y9583I5342O,"Cabramatta, NSW"
S9822L9197J,"Blacktown, NSW"
S7052X8794X,"Blacktown, NSW"
S5779F3566V,"Blacktown, NSW"
F3769U5608Z,"Castle Hill, NSW"
L6268X2876D,"Glebe, NSW"
Q4202Q3844N,"Camden, NSW"
C7251M6459S,"Lansvale, NSW"
R2459E7792O,"Rouse Hill, NSW"
T7044C2480M,"Croydon, NSW"
F4188Y4457V,"Blacktown, NSW"
A4504H4178G,"Pendle Hill, NSW"
P3016A5195M,"Blacktown, NSW"
S8698R8225T,"Blacktown, NSW"
Q1867E2391J,"Mcgraths Hill, NSW"
T8845T4260I,"Blacktown, NSW"
Z4168D5142G,"Blacktown, NSW"
T4282B3633L,"Blacktown, NSW"
F7056P7787W,"Lansvale, NSW"
W9110W5734Z,"Rouse Hill, NSW"
Z2228K1008Q,"Smithfield, NSW"
O7663N2743H,"Ingleburn, NSW"
V4055S7841Y,"Seven Hills, NSW"
S9043J2568Y,"Five Dock, NSW"
E9943F8640K,"Blacktown, NSW"
X2812S1028C,"Haberfield, NSW"
F4517S2345I,"Glebe, NSW"
P4117H4687Q,"Five Dock, NSW"
F3055C8382N,"Granville, NSW"
N9774N6146C,"Five Dock, NSW"
K8007U2861G,"Minchinbury, NSW"
A1201E3943S,"Blacktown, NSW"
O8520K9987Z,"Ryde, NSW"
