model_id,brand_id,model_name
R6903D7935B,R4503T4362V,Rexton
U2828Y3850I,Z2841J3258E,MG3
O5650B4301V,K6734H1401Y,430I
Y4915W1919Y,U9765N1870I,E500
Z9376X6072A,Z6859D8937Z,Arkana
H2672O5851Z,E4531U3797G,Estima
B8503N7620A,J2841E9236P,Rover
I5160Z7205P,T1977M5488Q,Pulsar
M5723I4126Z,S5881C2233R,86
J2302C8709G,Z9693N7724A,Jazz
R2916A3566J,A7153G4532R,HiAce
B4100R5937J,A6216A8056C,HiAce
L2340E1480Y,E9164K8070O,City
K1646I3825V,Z7877F1819L,HiAce
O3713E9604F,S1547D5339C,HiAce
O8180S6284F,R8068A8259Q,Golf
U3714R7184U,B3020N8277P,X3
O3175M7353Y,Y2082Q3184X,Outlander
A5838U6161Y,G8152S9057Q,118D
K8963G2578G,C7986P5964Z,Fiesta
R7911D2340O,U1397U6132Y,Outlander
R1794U4652J,X5801E5632R,Fiesta
X3711T6438O,B3466P6713P,Amarok
F7745W8268P,Y5711S3337G,Jazz
Z7545U9490B,M8757U7363S,Outback
Y3415F8055P,D1703C2126T,Mirage
D8178F2840Z,I8702F4423I,Camry
P1618A3463I,M9599W4374V,3
M9472T3796H,Z9067S3684Q,I45
U7458R7472S,D1765L5401R,Territory
N1336K3697O,S2685V7796S,Qashqai
U2832K4669Y,E6908A5909C,Golf
P2603K4696V,Y1405Y2245O,T-Cross
R3686A2668H,Z8150P7992W,Tucson
K4187X3585P,Y4365Y3407F,Focus
D6738D2398L,P1071Y2166V,X-Trail
M4081K5806C,J1950G2032P,Corolla
R7188V2986J,L4140X7195F,Yaris
P7527C4548F,H9304Q1139T,Grand
R7234F8614W,X7253C6546H,Corolla
K1286Y5219F,Q4749C9127X,HiAce
C7963H9594R,P4465D9171J,Patriot
H2701J2099S,A5008U5789S,HiAce
B7211H2112G,M8275R6504O,S60
R3877R3153A,F2028T5318C,Triton
E9101Y1410D,S7404Q6732A,E250
H8687I1745H,R6168B8662D,A250
X2568D8469X,Q2414S2213H,86
Q7547D7201A,N5837F1300F,CX-5
T3373K2944G,M5830D8753R,Corolla
Q2205S8118E,O7705G7551G,Falcon
P8750E8812C,I3841Q7439M,595
P2563X5045T,M4268J4089O,CR-V
I2617A7233M,I1800C4693F,Corolla
H7528K9895L,Q4467L5447T,HiAce
I9953N1721N,E9413Z9055R,I30
P6959W4420Y,Y8578Z7408M,6
O3649J5246S,V4910X6010X,Kluger
G4834R9921S,C5268P5512E,Santa
L8539Y6947P,U4529O9067G,X3
B1287V5336J,J9247B8331R,Cascada
O2617B4605T,O8594C8885W,ML320
Z2175Y7063O,X8257C7008A,Lancer
O4310M3885V,U1746K6218B,A5
R8943W7661L,U4304G7111J,RIO
A5509E5206T,H7703E6963R,Cherokee
W5357M9375N,Q3491D9745H,Tiguan
C6596M2480S,O5695V5632U,ASX
K2149U8079F,J9687B7794A,220I
U3901V5150O,H2254Z2554C,Tucson
R9458E9642Y,C2087H8068S,3
C4447R7859S,T5250T3507O,Tiguan
L8031U2108O,V1930U9402G,Imax
N1917B5030A,F1616T1730M,Yaris
O9158D1959J,K1156L5355P,Kluger
U7638B8870Z,D4319M3042P,Lancer
J1507H8982B,U2820W8778I,XV
H1469G8832T,F8215R3753Z,Cooper
Z2704X1779U,J5303M7385Q,308
M6361X1353L,A4687R9868C,Commodore
H1168V6115J,Y4292Y4982E,I20
Q7132Y3876G,A2678M6409T,BT-50
R9148Q3443S,K9401B9253K,3
E4969P4296S,A3955O9904P,I20
J1695Q7687F,F7679V2081J,Vezel
A7350M7716A,E5219T2597D,CX-7
U9598J1328E,G9814U1528O,Renegade
P8413R1646N,X6639O1969S,6
Q5635G2161Q,P9316H2400I,Elgrand
Z9275E9916E,N4155A8394Z,Grand
T6532D2428J,T3401B2158K,Lancer
U3326I9599F,C5592C3758M,Impreza
O4181M2280X,L1656C3338B,3
L3543P6410X,L1357D6443X,X4
H8663Q2142A,X7355R1965M,CX-7
X3424F8211T,O9979O3007N,A5
V8978I3761C,P9620L3755U,118I
V6837D4943P,O4440G4780Q,C-CLASS
K5433X4653S,W5972B3817F,HiAce
Y1177B7329U,B9939H3354S,Impreza
C8364B9516O,A8697K1070J,Q7
Y9951O5543J,N9766T1255T,Celerio
X6838I3382E,X2566Z3086L,Liberty
N8127U4173J,Y1410E9895J,C-HR
Q6333F7252U,M4871C1185O,Forester
O1648T8907S,U3424E4005U,CX-3
A5536C9027J,P5817Q1437G,Grand
D5702M7920F,C7242Y8372F,I30
C8908E3628O,I6176L4229I,X-Trail
I6446T9769S,V6817Z5633S,City
Z9151Y3098L,H1507R1037T,CR-V
X3257K5798G,J6703V3501W,Cruze
L5611U4135C,U1328L2622I,Grand
O2307O5245N,A5866W7898J,RAV4
S3071K1957F,S9620A6037W,Commodore
C9036Z6365Y,M5064C8587C,CLC200
W8461C9511I,N6319E4174Z,Journey
D1965F2323T,V4079A2161U,6
J5918M9047O,H4215S3586F,Caddy
U6381O7607X,N5987J2268N,Civic
T7569N6973X,D3287L5800N,Compass
W3044D2620V,I1639W3254U,HiAce
Y7909C3352F,Q2180Z8833Q,CX-9
T6264Y4844C,Q7917E1618P,Yaris
V7450U4387E,I2828N2922H,Grand
V7124X1456Q,U5806A7494N,3
K2975F6425X,J2692Y2030Q,Ranger
X8741N1913S,A7948L1257T,Captiva
E3444U8349O,E3382A3981A,86
O9308K9687A,X5370V8045U,Golf
N8103J6710R,B6058T9538Q,Lancer
U1480A7509H,P3382E2478S,Camry
H8501T1233S,N2851M6044T,I20
N8670U3533M,L7736G4990Q,Lancer
B6934N9515G,N5691D8403A,2
L1096E7437A,G3509D8073W,3
G8101G3296E,H2571U7242W,Triton
N9341U5825R,I1157Z7779W,Golf
F9278N8918F,Z7528Q5484Z,M135I
L9462K4997U,C8027Z6602A,Commodore
I4534M3978W,E9879C6707C,Golf
K5726T9681E,S8457Y1266V,Cruze
L7742Y2348C,Y1221S9031L,Imax
C9573S2201P,J8136I8225O,Triton
N3562Z1000A,E8879T5867I,330I
Q4110S4359P,A8656P8948P,Golf
F7874S9128M,T1566X2816E,Q3
J3895O2434V,S6718H9491N,Elgrand
R1116J4478M,U9413Z2921H,Estima
L2276C7169A,F2454Q9037T,Outback
U5405G3131K,I9061R8259G,6
N9443H3534L,G7510P1796K,Accent
H8617G4082N,F8578G7393J,Rover
O2869S2365U,Q5362J9441M,B-Class
N5104M4306C,U9463I1287X,Focus
A6850Q4429Q,X6197C6255Q,Sportage
F9332J5296S,A5825X1256K,Cayenne
S9170Q7233F,Q1230U1867C,Cayman
A7878A8661Q,M8530I4930H,Territory
X7126Q6582X,G8981Y7737H,Swift
K7758J4218Q,Y3397A2119W,Navara
D6420S2530A,M7278Y4805U,Estima
Y3190E4448O,J8208P1259A,Hijet
M6292G6880S,P1464Z6153S,RAV4
R1800Q7587Y,W8454Y8809H,Hilux
X2922S4507Q,T9330J8399U,3
D5338D6242C,G2148L5669N,Venue
O2723O9696J,Y6085Q8186D,X1
P6430U4792H,S3151G5289B,330I
A3643F8209N,S2345S9562F,6
T8172Z3200C,S6208B1367D,Veloster
T8268I6653L,J7740F7025N,Camry
L4759X5290O,M5005A4082B,Lancer
N7843I4229D,A9535A7644C,M4
Y1948E7847S,D7351N4654G,Swift
E2233K3461I,I7544T4817N,Transit
A1875E6207Y,I2975U5689P,Estima
D6698H8140D,T3057M5090P,308
W9982U4754X,J2470U8460Y,Trax
I8624D1193T,T2474T8696U,Triton
O7299O3873E,B9202C2070G,Forester
V9987B3431R,X2251O3813T,CX-3
L6743U5890P,Y7995B1322X,Navara
O3182S7853I,M4830J2243N,Captiva
Q3614I2908W,V7616N7008C,Cerato
N3765X2666B,K4473T1749K,RS3
I4801S1339N,Y6515V6825H,Triton
T4871T2080G,L5755W9455B,Grand
S4111A3064V,S5423Z3260H,C200
Q2721T8596R,W7048V6197D,Corolla
I5801A6227N,Y9294K7401I,Ranger
Y9368I2564I,K5521L5944O,Civic
A1586O9694B,M7787I8452P,CR-V
F6899D9806Q,M6297Q1409S,Navara
Q9963S7158M,Y1518W2025A,Tucson
X7688S3024L,O7970O3510L,CX-5
E1582U1098X,I6223K3336B,HiAce
C2369V7503R,I9075U6535C,D-MAX
X1580F9896C,A2362D5923N,A200
A6898S9428L,L1837R3548N,HiAce
Q2787A4533R,F3443C2528E,Puma
F9462O7160O,D9488T6987K,2
A9739L4855O,T8087C1489Q,Corolla
O8930H6526M,F9568K7804E,Grand
E6435R6313Y,K1017G1439O,Tucson
F6433M9541A,V4095R7883R,Camry
N1156V4859J,N9869A8397W,City
S9828I5517D,X1874Q9487Z,C-HR
T3275C4694O,U2447Y4666Y,Sorento
T2246N5432W,N3689P5432O,Cruze
N2568T6310K,O3721K3098G,MU-X
S3183D7057W,T1213I8949D,Cerato
S9140E6578A,U9706V6145R,IS350
X7410E6639G,O2761T3967K,2
M7915A8384Y,W2173A9943R,Corolla
K9776L4896D,A9905R4041W,Kluger
E2554V8000F,B1849U4643B,Golf
