vehicle_id,model_id,location_id,engine_id,title,year,used_or_new,vehicle_type,doors,seats,colour_ext_int,kilometres,price
J2107N5741W,R6903D7935B,V6316S5433R,V8452Z7406P,2022 Ssangyong Rexton Ultimate (awd),2022,DEMO,AWD, 4 Doors, 7 Seats,White / Black,5595,51990
S8123O7116Q,U2828Y3850I,C1528G3911M,T6729Z3943D,2022 MG MG3 Auto Excite (with Navigation),2022,USED,Front, 5 Doors, 5 Seats,Black / Black,16,19990
M1256Z1734P,O5650B4301V,E5321E1984X,A8785L2129R,2022 BMW 430I M Sport,2022,USED,Rear, 2 Doors, 4 Seats,Grey / White,8472,108988
K5640D2284S,Y4915W1919Y,Y6797A3458J,M1140B1516N,2011 Mercedes-Benz E500 Elegance,2011,USED,Rear, 2 Doors, 4 Seats,White / Brown,136517,32990
K7030E3756M,Z9376X6072A,H2239B4012L,W3533M3418G,2022 Renault Arkana Intens,2022,USED,Front, 4 Doors, 5 Seats,Grey / Black,1035,34990
A1679E4734Z,H2672O5851Z,Z9181H9788F,M3349V9564V,2004 Toyota Estima T EDITION,2004,USED,Other,,,Grey / -,160230,9990
T2850Q6414M,B8503N7620A,L1944O3443W,V3582Z8233E,2017 Land Rover Range Rover Evoque TD4 180 HSE Dynamic,2017,USED,AWD, 2 Doors, 4 Seats,White / Black,67662,62280
V1897J5946B,I5160Z7205P,A7114G8339P,T2660S9100L,2000 Nissan Pulsar LX,2000,USED,Front, 5 Doors, 5 Seats,Red / Grey,300539,2995
C3792Z1173K,M5723I4126Z,C2327G7572I,E2159A6099O,2013 Toyota 86 GT,2013,USED,Rear, 2 Doors, 4 Seats,Black / -,82012,24888
H7215R3707Y,J2302C8709G,P2041H2470O,A2203B8293A,2014 Honda Jazz Hybrid,2014,USED,Front, 5 Doors, 5 Seats,Blue / -,38229,17900
P2050H9407O,R2916A3566J,J9122P3197N,W4631G1135F,2009 Toyota HiAce (No Badge),2009,USED,Other,,,White / -,148190,42500
Y1730Q6829N,B4100R5937J,T6633E1886H,C9740E2102K,2018 Toyota HiAce LWB,2018,USED,Rear, 4 Doors, 2 Seats,White / Grey,16324,41999
N9681O2792T,L2340E1480Y,Z1178U3243H,W3850J4136Z,2015 Honda City GM VTi-L Sedan 4dr CVT 7sp 1.5i MY16,2015,USED,Other,,,Black / -,181745,11999
T9311P3257Y,K1646I3825V,J4672N3778L,E7440W9391I,2017 Toyota HiAce,2017,USED,Other,,,Silver / Grey,136296,38999
P5269N7400S,O3713E9604F,B9581X3748R,S7716N5035G,2016 Toyota HiAce LWB,2016,USED,Rear, 4 Doors, 2 Seats,White / Grey,229829,27995
K8988V6521E,O8180S6284F,X5565G1694P,W5893F6066L,2012 Volkswagen Golf 90 TSI Trendline,2012,USED,Front, 5 Doors, 5 Seats,White / Black,55676,14999
J8624C5053X,U3714R7184U,N3960W7006U,V7688S7305F,2014 BMW X3 Xdrive 20D,2014,USED,4WD, 4 Doors, 5 Seats,Black / Black,82624,24985
U6922R6496Y,O3175M7353Y,V2870F1694H,A9121U2391U,2013 Mitsubishi Outlander ES,2013,USED,Other,,,Blue / Grey,120020,13999
H4256N1995V,A5838U6161Y,J9789W3943I,E7427O3753B,2011 BMW 118D,2011,USED,Rear, 5 Doors, 5 Seats,Silver / -,95204,13999
B1265Y4491L,K8963G2578G,Y9583I5342O,D3828I3062T,2014 Ford Fiesta Sport,2014,USED,Front, 5 Doors, 5 Seats,White / Black,76289,12400
L3346V1158G,R7911D2340O,S9822L9197J,T7977X5643D,2012 Mitsubishi Outlander LS (4X4),2012,USED,AWD, 4 Doors, 7 Seats,Black / Black,219681,13999
F3607R2134C,R1794U4652J,S7052X8794X,U8150U1371C,2013 Ford Fiesta Zetec,2013,USED,Front, 5 Doors, 5 Seats,Blue / Black,98079,11999
X9665P6542S,X3711T6438O,S5779F3566V,X9958Z4410A,2023 Volkswagen Amarok Style TDI600 4Motion,2023,NEW,AWD, 4 Doors, 5 Seats,White / Black,15,83887
P9505R3233W,F7745W8268P,F3769U5608Z,G1671R3840X,2018 Honda Jazz VTI,2018,USED,Front, 5 Doors, 5 Seats,Silver / Black,43274,19900
O9267Y8007N,Z7545U9490B,L6268X2876D,D9297F4230D,2012 Subaru Outback 2.5I,2012,USED,AWD, 4 Doors, 5 Seats,Black / -,105672,17990
L9569V6888X,Y3415F8055P,Q4202Q3844N,K6649Q9812O,2018 Mitsubishi Mirage ES,2018,USED,Front, 5 Doors, 5 Seats,Black / -,36836,14995
R6447E3820F,D8178F2840Z,C7251M6459S,Q2108I1643B,2005 Toyota Camry Altise,2005,USED,Front, 4 Doors, 5 Seats,Silver / Grey,115821,8499
A5226M6716U,P1618A3463I,R2459E7792O,S9701H6273T,2013 BMW 3 Series 28i,2013,USED,Other,,,Black / -,143119,21999
W5360M1804R,M9472T3796H,T7044C2480M,A5055L8990Y,2011 Hyundai I45 Active,2011,USED,Front, 4 Doors, 5 Seats,Silver / Black,189711,12990
X2835Y2524H,U7458R7472S,F4188Y4457V,Y9644F3871R,2015 Ford Territory TS (rwd),2015,USED,Rear, 4 Doors, 7 Seats,Blue / Black,173786,16999
S9998W5327G,N1336K3697O,A4504H4178G,P7002C2697O,2018 Nissan Qashqai ST,2018,USED,Front, 4 Doors, 5 Seats,Blue / -,114301,21950
I2489N8562U,U2832K4669Y,P3016A5195M,Z1401X9718U,2013 Volkswagen Golf GTI,2013,USED,Front, 5 Doors, 5 Seats,Black / Black,69197,24880
H6649X4377E,P2603K4696V,S8698R8225T,E4752A8231W,2023 Volkswagen T-Cross 85TSI DSG FWD Life,2023,NEW,Front,,,White / Black,15,35887
J2669S9224T,R3686A2668H,Q1867E2391J,F9667D6565Z,2015 Hyundai Tucson Active (fwd),2015,USED,Front, 4 Doors, 5 Seats,Grey / -,94377,23888
X7307N3103J,K4187X3585P,T8845T4260I,R2249R7158J,2016 Ford Focus Trend,2016,USED,Front, 5 Doors, 5 Seats,White / Black,94965,16999
F6013P1074M,D6738D2398L,Z4168D5142G,T4787X7775T,2019 Nissan X-Trail ST 7 Seat (2WD),2019,USED,Front, 4 Doors, 7 Seats,Grey / -,99294,24490
D5754O8851L,M4081K5806C,T4282B3633L,M6907I9031H,2021 Toyota Corolla ZR Hybrid,2021,USED,Front, 5 Doors, 5 Seats,Black / -,13694,44878
X6185H7627V,R7188V2986J,F7056P7787W,R2283I2332D,2007 Toyota Yaris YRS,2007,USED,Front, 4 Doors, 5 Seats,Silver / -,264691,7949
W5054Z3017P,P7527C4548F,W9110W5734Z,K8631I3708I,2012 Jeep Grand Cherokee WK Laredo Wagon 4dr Spts Auto 5sp 4x4 3.6i,2012,USED,Other,,,Red / -,224839,13999
A9083Y5755H,R7234F8614W,Z2228K1008Q,X8600H1983E,2010 Toyota Corolla Conquest,2010,USED,Front, 5 Doors, 5 Seats,Grey / -,238270,8800
Y8063D5904T,K1286Y5219F,O7663N2743H,P1642G1827A,2009 Toyota HiAce (No Badge),2009,USED,Rear,,,White / Black,76259,32900
T4996L2174M,C7963H9594R,V4055S7841Y,T4430E8643D,2015 Jeep Patriot Limited (4X4),2015,USED,4WD, 4 Doors, 5 Seats,Black / -,140964,13990
